YEAR,MO,DY,T2M,RH2M
2020,1,1,10.65,48.65
2020,1,2,12.48,72.65
2020,1,3,14.64,74.02
2020,1,4,13.88,66.9
2020,1,5,12.81,54.56
2020,1,6,13.7,55.23
2020,1,7,14.59,75.14
2020,1,8,13.18,86.74
2020,1,9,9.67,67.72
2020,1,10,8.99,55.02
2020,1,11,10.4,43.57
2020,1,12,13.13,38.27
2020,1,13,14.82,57.85
2020,1,14,14.25,70.79
2020,1,15,13.32,67.25
2020,1,16,12.64,81.97
2020,1,17,12.85,76.27
2020,1,18,12.95,67.51
2020,1,19,11.06,66.46
2020,1,20,11.01,67.55
2020,1,21,13.13,50.6
2020,1,22,12.91,51.7
2020,1,23,11.36,58.68
2020,1,24,11.46,48.89
2020,1,25,11.77,47.91
2020,1,26,14.12,54.88
2020,1,27,15.98,58.08
2020,1,28,14.23,74.55
2020,1,29,13.94,68.64
2020,1,30,12.01,61.52
2020,1,31,11.83,57.77
2020,2,1,12.39,53.14
2020,2,2,11.46,59.41
2020,2,3,12.08,55.59
2020,2,4,12.61,49.46
2020,2,5,12.66,51.35
2020,2,6,12.14,53.86
2020,2,7,12.41,51.66
2020,2,8,11.94,56.28
2020,2,9,12.83,53.56
2020,2,10,13.52,48.55
2020,2,11,14.23,48.24
2020,2,12,15.65,49.44
2020,2,13,18.71,51.77
2020,2,14,17.74,47.16
2020,2,15,15.62,40.25
2020,2,16,16.12,38.31
2020,2,17,16.46,35.09
2020,2,18,16.31,35.2
2020,2,19,18.39,32.59
2020,2,20,19.08,41.89
2020,2,21,17.18,66.77
2020,2,22,17.31,69.15
2020,2,23,19.26,58.34
2020,2,24,18.91,57.48
2020,2,25,18.45,54.38
2020,2,26,18.91,58.02
2020,2,27,18.11,62.36
2020,2,28,19.58,61.01
2020,2,29,19.94,66.2
2020,3,1,20.47,65.14
2020,3,2,20.93,53.4
2020,3,3,21.0,48.75
2020,3,4,21.23,52.15
2020,3,5,20.19,71.64
2020,3,6,17.96,81.39
2020,3,7,18.0,66.53
2020,3,8,18.14,55.99
2020,3,9,17.52,55.0
2020,3,10,18.18,48.01
2020,3,11,19.97,63.72
2020,3,12,21.01,62.18
2020,3,13,20.02,43.93
2020,3,14,16.97,59.4
2020,3,15,17.73,54.72
2020,3,16,19.27,55.0
2020,3,17,20.39,51.54
2020,3,18,21.42,50.0
2020,3,19,22.65,53.47
2020,3,20,23.72,50.62
2020,3,21,24.72,44.77
2020,3,22,24.18,45.67
2020,3,23,23.77,48.31
2020,3,24,24.48,48.4
2020,3,25,25.36,48.98
2020,3,26,24.0,54.76
2020,3,27,22.54,63.23
2020,3,28,22.74,55.7
2020,3,29,23.1,45.17
2020,3,30,22.86,46.48
2020,3,31,23.69,47.46
2020,4,1,25.71,49.42
2020,4,2,24.36,46.16
2020,4,3,23.15,40.75
2020,4,4,23.96,39.21
2020,4,5,25.81,39.12
2020,4,6,26.62,34.49
2020,4,7,26.81,37.94
2020,4,8,25.96,40.49
2020,4,9,25.51,38.14
2020,4,10,27.89,35.3
2020,4,11,29.14,35.87
2020,4,12,28.96,36.52
2020,4,13,30.33,39.78
2020,4,14,32.34,36.41
2020,4,15,31.98,27.76
2020,4,16,30.81,31.38
2020,4,17,29.68,30.04
2020,4,18,29.8,32.88
2020,4,19,28.88,40.73
2020,4,20,24.65,48.49
2020,4,21,27.72,44.75
2020,4,22,28.48,35.47
2020,4,23,28.45,36.28
2020,4,24,30.77,32.51
2020,4,25,31.94,29.52
2020,4,26,30.15,41.13
2020,4,27,28.01,51.82
2020,4,28,28.88,48.66
2020,4,29,30.99,40.89
2020,4,30,31.94,40.54
2020,5,1,32.37,39.08
2020,5,2,32.65,38.61
2020,5,3,31.26,43.39
2020,5,4,30.68,48.83
2020,5,5,31.56,41.75
2020,5,6,31.67,35.47
2020,5,7,30.16,45.41
2020,5,8,32.75,33.04
2020,5,9,33.4,30.61
2020,5,10,30.98,44.02
2020,5,11,30.14,46.03
2020,5,12,31.41,37.9
2020,5,13,32.66,34.93
2020,5,14,33.67,35.71
2020,5,15,33.41,33.82
2020,5,16,33.13,28.31
2020,5,17,34.34,25.48
2020,5,18,34.03,22.57
2020,5,19,33.72,17.27
2020,5,20,33.12,18.47
2020,5,21,34.13,17.42
2020,5,22,36.52,15.93
2020,5,23,38.66,15.66
2020,5,24,38.32,15.52
2020,5,25,37.83,18.47
2020,5,26,38.37,15.49
2020,5,27,38.92,14.54
2020,5,28,36.75,26.53
2020,5,29,34.91,32.66
2020,5,30,31.65,43.82
2020,5,31,29.66,55.57
2020,6,1,31.02,50.07
2020,6,2,31.92,45.23
2020,6,3,33.32,40.7
2020,6,4,31.8,47.52
2020,6,5,31.1,48.71
2020,6,6,31.45,46.92
2020,6,7,32.46,47.06
2020,6,8,33.31,42.82
2020,6,9,35.16,38.61
2020,6,10,36.36,36.95
2020,6,11,36.53,37.36
2020,6,12,37.27,35.85
2020,6,13,36.62,35.26
2020,6,14,36.06,37.18
2020,6,15,36.41,33.6
2020,6,16,36.84,24.35
2020,6,17,36.2,28.93
2020,6,18,36.92,31.28
2020,6,19,37.8,31.93
2020,6,20,37.92,34.46
2020,6,21,35.59,42.69
2020,6,22,34.3,47.89
2020,6,23,34.31,49.71
2020,6,24,33.17,58.96
2020,6,25,34.7,54.81
2020,6,26,34.31,54.76
2020,6,27,37.26,39.75
2020,6,28,37.44,38.99
2020,6,29,37.66,36.9
2020,6,30,35.02,49.62
2020,7,1,36.08,44.8
2020,7,2,36.19,45.85
2020,7,3,36.94,45.15
2020,7,4,37.1,44.15
2020,7,5,31.4,69.04
2020,7,6,33.47,53.64
2020,7,7,29.93,69.84
2020,7,8,31.14,67.13
2020,7,9,33.49,59.02
2020,7,10,35.76,48.42
2020,7,11,34.82,52.15
2020,7,12,33.47,57.19
2020,7,13,34.0,54.58
2020,7,14,35.47,45.06
2020,7,15,34.56,49.81
2020,7,16,33.74,54.73
2020,7,17,32.7,64.36
2020,7,18,33.22,64.27
2020,7,19,32.57,70.35
2020,7,20,33.67,61.08
2020,7,21,31.48,72.15
2020,7,22,28.55,82.11
2020,7,23,30.15,69.45
2020,7,24,30.61,66.57
2020,7,25,30.51,69.98
2020,7,26,30.7,70.96
2020,7,27,32.87,59.49
2020,7,28,33.66,61.7
2020,7,29,32.25,67.28
2020,7,30,29.33,80.17
2020,7,31,30.84,74.8
2020,8,1,31.59,70.23
2020,8,2,31.96,66.49
2020,8,3,32.62,68.15
2020,8,4,32.75,67.88
2020,8,5,31.51,70.77
2020,8,6,31.28,70.14
2020,8,7,31.24,71.99
2020,8,8,32.28,68.19
2020,8,9,32.29,68.06
2020,8,10,30.59,78.02
2020,8,11,29.26,85.53
2020,8,12,30.92,79.06
2020,8,13,29.18,87.46
2020,8,14,28.63,87.63
2020,8,15,29.72,80.26
2020,8,16,30.54,78.65
2020,8,17,31.06,77.07
2020,8,18,30.52,80.73
2020,8,19,29.98,84.86
2020,8,20,27.99,90.13
2020,8,21,28.19,81.39
2020,8,22,28.34,81.03
2020,8,23,28.36,82.92
2020,8,24,28.8,80.1
2020,8,25,29.16,79.91
2020,8,26,29.85,76.93
2020,8,27,29.39,81.61
2020,8,28,29.63,79.08
2020,8,29,29.0,80.06
2020,8,30,28.07,81.54
2020,8,31,28.69,76.99
2020,9,1,29.55,75.65
2020,9,2,28.85,78.06
2020,9,3,29.11,78.3
2020,9,4,29.77,76.28
2020,9,5,29.96,74.73
2020,9,6,29.44,74.8
2020,9,7,29.98,72.21
2020,9,8,29.8,70.64
2020,9,9,30.15,66.45
2020,9,10,30.66,65.53
2020,9,11,31.0,62.95
2020,9,12,30.31,62.61
2020,9,13,30.83,58.41
2020,9,14,30.43,55.98
2020,9,15,30.64,54.07
2020,9,16,31.47,57.27
2020,9,17,31.74,57.11
2020,9,18,31.88,53.55
2020,9,19,31.84,51.78
2020,9,20,30.74,55.09
2020,9,21,31.06,51.79
2020,9,22,31.44,60.02
2020,9,23,30.75,64.69
2020,9,24,31.27,57.44
2020,9,25,30.79,45.9
2020,9,26,29.91,46.85
2020,9,27,29.53,46.65
2020,9,28,29.76,43.04
2020,9,29,28.48,45.66
2020,9,30,28.03,46.09
2020,10,1,28.45,41.74
2020,10,2,28.83,38.92
2020,10,3,28.11,36.83
2020,10,4,27.33,36.03
2020,10,5,27.6,36.51
2020,10,6,27.62,34.67
2020,10,7,27.71,34.79
2020,10,8,27.6,34.8
2020,10,9,27.6,36.76
2020,10,10,27.68,39.89
2020,10,11,27.51,39.49
2020,10,12,27.78,36.59
2020,10,13,28.36,38.25
2020,10,14,28.21,41.65
2020,10,15,28.03,36.95
2020,10,16,26.93,33.16
2020,10,17,27.0,31.91
2020,10,18,25.98,31.77
2020,10,19,24.85,31.35
2020,10,20,24.93,27.29
2020,10,21,26.22,23.42
2020,10,22,26.75,31.78
2020,10,23,25.81,32.75
2020,10,24,24.87,27.27
2020,10,25,24.74,24.73
2020,10,26,24.34,26.47
2020,10,27,23.01,30.0
2020,10,28,22.76,24.15
2020,10,29,22.45,25.93
2020,10,30,22.44,28.33
2020,10,31,22.07,29.39
2020,11,1,21.21,23.45
2020,11,2,21.0,25.39
2020,11,3,21.61,23.74
2020,11,4,21.75,25.87
2020,11,5,21.59,24.58
2020,11,6,21.81,24.8
2020,11,7,21.54,28.4
2020,11,8,21.23,29.6
2020,11,9,20.07,33.23
2020,11,10,22.31,28.72
2020,11,11,22.28,32.78
2020,11,12,21.43,38.93
2020,11,13,21.1,36.59
2020,11,14,21.77,31.49
2020,11,15,22.47,41.19
2020,11,16,20.41,65.18
2020,11,17,19.19,56.22
2020,11,18,18.37,45.1
2020,11,19,17.67,36.83
2020,11,20,17.24,35.19
2020,11,21,16.38,37.13
2020,11,22,16.2,28.39
2020,11,23,17.85,22.88
2020,11,24,18.08,23.67
2020,11,25,18.4,27.09
2020,11,26,17.42,50.54
2020,11,27,17.63,44.13
2020,11,28,16.58,41.63
2020,11,29,16.21,34.17
2020,11,30,17.0,33.06
2020,12,1,17.02,39.08
2020,12,2,17.78,43.13
